	sentence	label
728	-- Знаю; но что же мне делать, не моя воля, -- сказала она, и в словах ее слышалось столько отчаяния, как будто она шла на смертную казнь.	negative
729	-- Знает, всё знает.	neutral
730	-- Мало делаю, или почти ничего, к стыду моему или тех, кто меня воспитывал.	neutral
731	-- А вы разве ничего не слыхали о том, что делается на гетьманщине?	neutral
732	-- Чай, Пелагея-то рада-радешенька, что помер он...	neutral
733	-- Рано больно беспокоишься, -- усмехался Маякин.	negative
736	-- Кирдягу!	neutral
739	-- А!	neutral
740	-- Значит, вас кто-нибудь и где-нибудь проучил, -- сказал французик небрежно и презрительно.	negative
741	-- Я говорю, чтоб вы меня извинили, Крестьян Иванович, в том, что я, сколько мне кажется, не мастер красно говорить, -- сказал господин Голядкин полуобиженным тоном, немного сбиваясь и путаясь.	neutral
743	-- А и в некоторыем царствии, вот и в некоторыем государствии уродился фармазон-еретик от неведомых родителей, за грехи сыном наказанных богом господом всевидящим…	neutral
745	-- Непременно простит, только, может быть, не так скоро.	neutral
747	-- Спешу, спешу, мой друг, опоздал!	positive
748	-- Что за черт!	negative
749	-- Нет, Герасимыч, не сумнительно; тут, Герасимыч, ничего нет сумнительного.	neutral
750	-- Пожалуй, разве так только, попробовать, -- говорил Афанасий Иванович.	neutral
751	-- Ну, дети, теперь надобно спать, а завтра будем делать то, что бог даст.	neutral
752	-- На чем же вы основываете ваше мнение?	neutral
753	-- Как какое?	neutral
754	-- А что вы, князь, и наукам там обучались, у профессора-то?	neutral
756	-- А про Шепчиху ты не слышал?	neutral
757	-- А где ж подкидыш?	neutral
760	-- А!	neutral
761	-- Вы проводите меня, Находка?	neutral
762	-- Кроме красоты!	neutral
763	-- Ну да; не нравится мне этот ваш Фердыщенко: сальный шут какой-то.	negative
764	-- Cousin!	neutral
766	-- Узелок ваш все-таки имеет некоторое значение, -- продолжал чиновник, когда нахохотались досыта (замечательно, что и сам обладатель узелка начал наконец смеяться, глядя на них, что увеличило их веселость), -- и хотя можно побиться, что в нем не заключается золотых заграничных свертков с наполеондорами и фридрихсдорами, ниже с голландскими арапчиками, о чем можно еще заключить хотя бы только по штиблетам, облекающим иностранные башмаки ваши, но...	neutral
769	-- Неудобно!	neutral
770	-- А представьте, я совсем не думая сказал, -- пояснил он наконец в удивлении.	neutral
771	-- Так, -- весело!	positive
772	-- Вы напрасно рискуете.	positive
773	-- Христос тебя да сохранит, маленькая...	neutral
774	-- Я, Крестьян Иванович...	neutral
775	-- Чего?..	neutral
776	-- Конечно: все и всё; целые полгода на одно это только и надеялись.	neutral
777	-- Пойдем!	neutral
778	-- Да три полсотни с лишком надо будет приложить, -- сказал Петрович и сжал при этом значительно губы.	neutral
779	-- Велел задержать награду, пока не отыщется.	neutral
782	-- Ну, тысячу рублей!	neutral
783	-- Леший!	negative
785	-- Да, а ребятишек бросила дома -- они ползают с курами, поросятами, и если нет какой-нибудь дряхлой бабушки дома, то жизнь их каждую минуту висит на волоске: от злой собаки, от проезжей телеги, от дождевой лужи...	negative
787	-- Поди-ка на цыпочках, тихохонько, посмотри, спит ли Сашенька?	neutral
788	-- Носи на здоровье!	positive
789	-- Да!	positive
790	-- Я читаю запрещенные книги.	neutral
791	-- Про-эк-за-ме-но-вать?	neutral
792	-- От такого бою разве можно понести?	neutral
793	-- Cousin, пойдемте в гостиную: я не сумею ничего отвечать на этот прекрасный монолог...	neutral
794	-- Да, отец действительный статский советник; десять тысяч дает, квартира казенная.	neutral
796	-- Уж если, Аграфена Ивановна, случай такой придет -- лукавый ведь силен, -- так лучше Гришку посадите тут: по крайности малый смирный, работящий, не зубоскал...	neutral
801	-- Молодой человек, -- продолжал он, восклоняясь опять, -- в лице вашем я читаю как бы некую скорбь.	neutral
802	-- Ну, чего уставил буркалы на меня?	negative
803	-- Я зайду после, Герасимыч; я объяснюсь; я надеюсь, что всё это не замедлит своевременно объясниться, -- проговорил он на пороге и отчасти на лестнице.	neutral
804	-- Умер, гм...	negative
807	-- Выжили нас...	negative
808	-- Э!	neutral
809	-- Один из ваших коротких знакомых...	neutral
810	-- Так вот как: всё в трудах!	neutral
811	-- Это что за сестрица!	neutral
812	-- Разумеется, maman, если с ним можно без церемонии; к тому же он с дороги есть хочет, почему не накормить, если он не знает куда деваться?	neutral
814	-- Что, не осмелишься?	neutral
815	-- Гм!	neutral
816	-- Нет, вы не смеете спросить!	neutral
817	-- Прощайте!	neutral
818	-- Конечно, не в плаще же входить к нему.	neutral
821	-- Хутор!	neutral
826	-- Надо стащить её домой...	neutral
827	-- Пожалуйста, пожалуйста!	positive
829	-- И нечистоту не я выдумал.	neutral
830	-- Я.	neutral
831	-- Как!	neutral
834	-- Дежурный кто?	neutral
835	-- Если позволите, -- сказал князь, -- я бы подождал лучше здесь с вами, а там что ж мне одному?	neutral
837	-- Чего ты, -- говорит, -- Матвей, стесняешься?	neutral
838	-- Я не знаю, Пульхерия Ивановна, что вы такого находите в кошке.	neutral
842	-- А грех?	neutral
843	-- Да, -- нет...	neutral
845	-- В субботу у меня будут гости из города.	neutral
846	-- К осени; а на лето мы ее возьмем на дачу.	neutral
847	-- Пожалуй, хоть и рыжиков или пирожков, -- отвечал Афанасий Иванович, и на столе вдруг являлась скатерть с пирожками и рыжиками.	neutral
851	-- Отчего ж?	neutral
853	-- Ну вот, ты теперь знаешь, что я делаю, куда хожу, я тебе все сказал!	neutral
854	-- Посиди еще, -- удерживал Обломов.	neutral
855	-- Вас волен зи дох?	neutral
857	-- Дедушка Ерёма!	neutral
859	-- Дела неотлагательного я никакого не имею; цель моя была просто познакомиться с вами.	neutral
860	-- Что же вы не спросите меня, кузина, что значит любить, как я понимаю любовь?	positive
862	-- Гм.	neutral
865	-- Как куда, маменька?	neutral
866	-- Каку работу?	neutral
867	-- Подтяни подпругу у коренной-то, -- сказал он ямщику, -- вишь, седелка-то на боку!	neutral
868	-- Бог знает что вы говорите, Афанасий Иванович!	negative
870	-- Эк ведь спит!	neutral
871	-- Буду продолжать медикаменты, как вы говорите, Крестьян Иванович, буду продолжать и в той же аптеке брать буду...	neutral
873	-- А!	neutral
878	-- Все согласны!	positive
880	-- Конечно, вы; все дома сидите: как при вас станешь убирать?	neutral
881	-- Ладно!	neutral
883	-- Ну, сядь, сядь!	neutral
886	-- Но, Алексей Петрович, подумали ль вы, какая история выйдет теперь между вашим и ее отцом?	neutral
888	-- Да -- и конец всему, и начало скуке!	negative
889	-- В Петербурге?	neutral
890	-- Скажите мне, пожалуйста, где вы живете теперь?	neutral
891	-- Да со мной поклажи всего один маленький узелок с бельем, и больше ничего; я его в руке обыкновенно несу.	neutral
892	-- Или потому, что уж слишком надо было выиграть.	neutral
893	-- Было же это, государь мой, назад пять недель.	neutral
897	-- Вот -- ты всех колотишь, вот и...	negative
899	-- Вот-с, батюшка: коли по гривне в месяц с рубля, так за полтора рубля причтется с вас пятнадцать копеек, за месяц вперед-с.	neutral
901	-- Ну-с?	neutral
903	-- Я тебе воды со льдом принесу...	neutral
904	-- Прощай, -- сказал чиновник, -- я заболтался, что-нибудь понадобится там...	neutral
905	-- Нет, он обещался сюда прийти, взять меня; мы условились...	neutral
909	-- Вот это боже сохрани!	positive
911	-- А кто мне запретит?	neutral
912	-- А может быть, далее и попадется какой-нибудь хутор, -- сказал богослов, не выпуская люльки.	neutral
914	-- Видано ль, чтобы така лошаденка таку поклажу везла, -- прибавляет другой.	neutral
915	-- Вставай, умывайся, молись богу!	neutral
918	-- Так вот что!	neutral
919	-- А -- в лес?!	neutral
920	-- А то что будет?	neutral
922	-- Нет, вы оставайтесь!	neutral
923	-- Ну -- какая это игра?	neutral
925	-- По крайней мене можете ли вы, cousin, однажды навсегда сделать resume.	neutral
926	-- Господи, господи боже мой!	negative
927	-- Ку-уда-а?	neutral
931	-- Вы -- мужичьи дети, а мой отец -- барин!..	neutral
932	-- Иной раз и убрал бы, да вы же сами не даете, -- сказал Захар.	neutral
934	-- Э-э-э!	neutral
935	-- Здравствуйте, Обломов, -- говорил блистающий господин, подходя к нему.	neutral
936	-- Да вы на сей раз Алене Ивановне ничего не говорите-с, -- перебил муж, -- вот мой совет-с, а зайдите к нам не просясь.	neutral
937	-- Что еще это!	negative
939	-- Нельзя, -- отвечал Дорош.	neutral
941	-- Фью!	negative
942	-- Я...	neutral
944	-- Почему?	neutral
946	-- Нет!	negative
949	-- Э, вы еще молоды, товарищ, мало луку ели!	neutral
950	-- Речи молокососа.	negative
951	-- Да что мне смеяться-то?	neutral
952	-- Тебе!	neutral
953	-- Вы не сердитесь на меня, -- продолжал я, -- за такое предложение.	neutral
955	-- До гробовой доски!	positive
956	-- А -- в лес?	neutral
957	-- Гляди!	neutral
958	-- А, так это действительно правда, что всё в закладе?	neutral
959	-- Михайло?	neutral
960	-- У-уйди!	negative
961	-- Ужас, ужас!	negative
962	-- Я тысячу раз с наслаждением воображал себе, -- продолжал он свою болтовню, -- как он полюбит ее, когда узнает, и как она их всех изумит.	positive
964	-- Поезжайте, душенька, Илья Ильич!	positive
965	-- Да, Антон Антонович, я знаю, что существуют такие поветрия...	neutral
967	-- Дай-то бог!	positive
968	-- Вот так вонько пахнет!	negative
969	-- Конечно!	neutral
970	-- Ваше превосходительство, не хотите ли кушать?	neutral
971	-- Ступай же, говорят тебе!	negative
972	-- Смейтесь, господа, смейтесь покамест!	negative
973	-- Это отчасти справедливо, -- заметил самодовольно француз.	neutral
974	-- Дурного -- нет.	neutral
975	-- Нет-с, Антон Антонович, я, конечно, чувствую...	neutral
977	-- Умилосердись, бабуся!	neutral
978	-- Помилуйте, -- отвечал я ему, -- ведь, право, неизвестно еще, что гаже: русское ли безобразие или немецкий способ накопления честным трудом?	neutral
979	-- Вот так -- а-яй!	neutral
980	-- Э-эх, сирота!..	neutral
981	-- Говори же, что там делается?	positive
983	-- Вы вызываете меня; вы думаете, что я не сделаю?	neutral
984	-- Вот и славно!	positive
985	-- Вот, смотри: ее отец -- богатый, торгует железом, имеет несколько домов.	neutral
988	-- Да, ночь темная.	neutral
989	-- Полно, полно, Дорош!	neutral
990	-- Видишь, какой добрый человек!	positive
992	-- Эй, братцы, айда скорей!	neutral
993	-- Мать твоя -- шкура барабанная, а отец -- мерзавец!	negative
994	-- А ты что?	neutral
995	-- А вот я вам сейчас самоварчик согрею!	positive
999	-- Как?	neutral
1000	-- А не сочинитель?	neutral
1001	-- Прекрасно-с; а почерк?	neutral
1002	-- Нет, почему ж, я вам верю, -- произнесла она, но так, как она только умеет иногда выговорить, с таким презрением и ехидством, с таким высокомерием, что, ей-богу, я мог убить ее в эту минуту.	neutral
1004	-- Ну, -- кто смерти хочет?	negative
1005	-- Все равно, маменька.	neutral
1006	-- Можно, можно, Дорош.	neutral
1007	-- Как делишки, мусорщик?	neutral
1010	-- Азорка, Азорка!	neutral
1011	-- Молодец!	positive
1012	-- Предки наши были умные, ловкие люди, -- продолжал он, -- где нельзя было брать силой и волей, они создали систему, она обратилась в предание -- и вы гибнете систематически, по преданию, как индианка, сожигающаяся с трупом мужа...	negative
1013	-- Обнаружен весь механизм нашего общественного движения, и все в поэтических красках.	neutral
1014	-- И -- курить буду!	neutral
1015	-- Эх, Аграфена Ивановна!..	neutral
1017	-- И ваши тоже: у вас тоже есть они.	neutral
1020	-- Вам нет ничего интересного в моих обстоятельствах, Если хотите знать, я просто должна.	neutral
1021	-- Что, Игнат, -- спросил его кум Маякин, -- выжимает лед-то у тебя из мошны тысяч десять, этак?	neutral
1022	-- И мышей не я выдумал.	neutral
1023	-- Не может быть!	neutral
1024	-- Правда ли, -- сказал один молодой овчар, который насадил на свою кожаную перевязь для люльки столько пуговиц и медных блях, что был похож на лавку мелкой торговки, -- правда ли, что панночка, не тем будь помянута, зналась с нечистым?	neutral
1025	-- Я ведь знаю всё это.	neutral
1027	-- Ну хорошо, поди!	positive
1028	-- Вор ты будешь первостепенный, Гурька!	negative
1029	-- Добрый, добрый папаша!	positive
1030	-- Я ей говорил:	neutral
1032	-- Чьи же?	neutral
1034	-- Возьму-с: вот только этот кусок съем.	neutral
1036	-- О любви?	positive
1037	-- Песню, братцы!	neutral
1038	-- Право?	neutral
1039	-- Верно?	neutral
1041	-- Так я совсем и улетел!..	neutral
1042	-- Чего бояться?..	neutral
1043	-- Я вам скажу, господа, по-дружески, -- сказал, немного помолчав, наш герой, как будто (так уж и быть) решившись открыть что-то чиновникам, -- вы, господа, все меня знаете, но до сих пор знали только с одной стороны.	positive
1044	-- Ну, а ты всё-таки не того...	neutral
1045	-- Я, н-н-нет!	neutral
1046	-- Я вскормила в самом деле одну глупость, и когда-нибудь расскажу вам.Я была еще девочкой.	neutral
1048	-- Вишь!	negative
1051	-- Чиновник-то?	neutral
1053	-- Воображаю, хорошо должно быть полотно...	neutral
1054	-- Конечно, я старая и глупая, но хорошее и я понимаю!	neutral
1055	-- Деньги нужны: осенью женюсь, -- прибавил Судьбинский.	neutral
1056	-- Бьюсь об заклад, что вы сомневаетесь, что я в состоянии ощущать серьезную надобность?	neutral
1057	-- Гм...	neutral
1058	-- Дедушка!	neutral
1060	-- Отчего же?	neutral
1061	-- Можно шушель сделать, -- заговорил сострадательный Миллер, желая хоть чем-нибудь утешить старика.	neutral
1063	-- Да ведь она и тебе нравится?	positive
1064	-- Вы что, мамаша?	neutral
1065	-- Да что: тысяча двести рублей жалованья, особо столовых семьсот пятьдесят, квартирных шестьсот, пособия девятьсот, на разъезды пятьсот, да награды рублей до тысячи.	neutral
1067	-- Послушай, чего ж ты боишься?	neutral
1068	-- Я, Крестьян Иванович, -- начал господин Голядкин с улыбкою, -- пришел вас беспокоить вторично и теперь вторично осмеливаюсь просить вашего снисхождения...	neutral
1069	-- Маменька, слава богу, здорова, кланяется вам, и тетушка Марья Павловна тоже, -- сказал робко Александр Федорыч.	neutral
1071	-- Да-а, -- протянула девушка, вздрагивая.	neutral
1072	-- Зябко?	neutral
1073	-- Не плачь!	neutral
1074	-- Ну, а как у тебя птицы?	neutral
1076	-- Прощай, брат!	neutral
1079	-- Тебе её жалко?	neutral
1081	-- А заметили ли вы, что он сегодня не в ладах с генералом?	neutral
1082	-- Заврался!	negative
1083	-- Вот какая вы!	neutral
1084	-- Ведь я ей вовсе не родня, я только генералова падчерица.	neutral
1087	-- Вы, кажется, и их упрекали, зачем они не любят, -- с улыбкой прибавила она, показав головой к гостиной на теток.	positive
1088	-- Да, Крестьян Иванович, заплели они сплетню.	neutral
1089	-- Вот как дышит правда!	neutral
1090	-- А ведь савраске-то беспременно лет двадцать уж будет, братцы!	neutral
1094	-- Так он и не женится на тебе, Наташа?	neutral
1096	-- Лимон съел, Крестьян Иванович, как по пословице говорится.	neutral
1097	-- Нет; но я сам почел себя обязанным дать ему это удовлетворение, и, разумеется, барон остался доволен, Мы расстаемся, милостивый государь.	neutral
1098	-- Что?	neutral
1099	-- Что за вопросы?	neutral
1100	-- Как?	neutral
1103	-- Приезжайте вечером чай пить, из балета: расскажете, как там что было, -- приглашал Обломов.	neutral
1104	-- К чему эти вопросы?	neutral
1105	-- О ком?	neutral
1106	-- Дай мышьяку, отрави...	negative
1107	-- О, как вы меня мало знаете!	neutral
1108	-- Чего бы такого поесть мне, Пульхерия Ивановна?	neutral
1109	-- Что ты?	neutral
1110	-- Что ж ты, дядько, расплакался, -- сказал он, -- я сам сирота!	neutral
1112	-- Как же новую?	neutral
1113	-- Православные, кланяйтесь праведнику!	neutral
1115	-- Это правда, я глуп, смешон, -- сказал он, подходя к ней и улыбаясь весело и добродушно, -- может быть, я тоже с корабля попал на бал...	positive
1116	-- Гм...	neutral
1117	-- Илька!	neutral
1119	-- Не трогайте: я хочу с ним поговорить о бурсе.	neutral
1121	-- Ну как я об вас об таком доложу?	neutral
1122	-- Хорошего тут-то что?	neutral
1123	-- Вспомните, Иван Федорович, -- сказал тревожливо и колеблясь Ганя, -- что ведь она дала мне полную свободу решенья до тех самых пор, пока не решит сама дела, да и тогда всё еще мое слово за мной...	neutral
1124	-- Но барону я спустить не намерен, -- продолжал я с полным хладнокровием, нимало не смущаясь смехом мсье Де-Грие, -- и так как вы, генерал, согласившись сегодня выслушать жалобы барона и войдя в его интерес, поставили сами себя как бы участником во всем этом деле, то я честь имею вам доложить, что не позже как завтра поутру потребую у барона, от своего имени, формального объяснения причин, по которым он, имея дело со мною, обратился мимо меня к другому лицу, точно я не мог или был недостоин отвечать ему сам за себя.	negative
1125	-- О, господи!	negative
1126	-- А зачем они пошли туда?..	neutral
1127	-- Немецкая работа, -- хладнокровно произнес Шиллер, поглаживая подбородок.	neutral
1128	-- Кто-то сядет на мое место?	neutral
1129	-- Ты -- сядь, мамаша...	neutral
1130	-- Нет, он в это время никогда не пьет.	neutral
1132	-- Ей-богу, воет...	neutral
1133	-- Это застрелился который?	neutral
1134	-- Сплетню, вы говорите?	neutral
1135	-- У отца ведь, кажется, немного...	neutral
1137	-- Не пора ли одеваться: четверть пятого!	neutral
1138	-- А!..	neutral
1139	-- Как это?	neutral
1140	-- То есть какова же?	neutral
1142	-- Ну, брат Ваня, хорошо, хорошо!	positive
1144	-- Ну что, Ваня, что?	neutral
1145	-- То-то, что знаю я тебя, старушка божия!	neutral
1146	-- Так вы, стало быть, можете сделать и оправу, например, к кинжалу или другим вещам?	neutral
1147	-- Вы, по обыкновению, хотите из желания девочек посмотреть ботинки сделать важное дело, разбранить меня и потом заставить согласиться с вами...	negative
1150	-- Я?	neutral
1151	-- А где немцы сору возьмут, -- вдруг возразил Захар.	neutral
1152	-- Ну, вот видишь!	neutral
1153	-- Вы отлично хорошо знаете, что нет!	neutral
1154	-- Полноте, полноте; что враги!	negative
1155	-- Вас спасло, что вы объявили себя варваром и еретиком, -- заметил, усмехаясь, французик.	neutral
1156	-- Готово!	neutral
1158	-- Слушаю-с, -- отвечал слуга, -- ас гостинцами что прикажете делать?	neutral
1159	-- Увеселительная прогулка.	neutral
1161	-- Что ж он?	neutral
1162	-- Да что дома?	neutral
1163	-- Приснилось тебе...	neutral
1164	-- Нужно посмотреть, как они начали жить…	neutral
1165	-- Князь, пожалуйте!	positive
1166	-- Парфен?	neutral
1167	-- Ну, ну, хорошо, хорошо!	positive
1168	-- Мне кажется, вам очень много достанется, -- сказал я утвердительно.	neutral
1169	-- Я-то?	neutral
1171	-- С кем ты это похлестался теперь?	neutral
1173	-- Ладно!	positive
1174	-- Ну как все!	neutral
1175	-- Вот уж три недели!	neutral
1176	-- Наташа, -- сказал я, -- одного только я не понимаю: как ты можешь любить его после того, что сама про него сейчас говорила?	neutral
1179	-- Вы?	neutral
1180	-- Да, Крестьян Иванович; и я знаю некоторых людей, Крестьян Иванович, которые не слишком-то держатся общего мнения, чтоб иногда правду сказать.	neutral
1182	-- Пусти-и!	negative
1183	-- Да, он пишет ко мне...	neutral
1184	-- Да, у меня дело...	neutral
1185	-- Да.	positive
1186	-- Вы так часто обращаетесь к своему любимому предмету, к любви, а посмотрите, cousin, ведь мы уж стары, пора перестать думать об этом!	positive
1188	-- Эх ты, братец!	neutral
1189	-- Сами посудите, Антон Иваныч, один сын, и тот с глаз долой: умру -- некому и похоронить.	negative
1190	-- Нет, сударь, я не ошибся.	neutral
1191	-- У вас ведь, кажется, только еще одна комната и занята.	neutral
1192	-- Ребёнка, что ли?	neutral
1193	-- Нет, во Франции всё головы рубят.	negative
1194	-- Вы сами знаете, что такое mademoiselle Blanche.	neutral
1197	-- На кухмистерше, на одной неблагопристойной немке, у которой обеды берет; вместо заплаты долгов руку ей предлагает.	neutral
1198	-- Вы говорили -- умерла?	neutral
1200	-- Я говорю, Крестьян Иванович, про известного человека...	neutral
1201	-- Отчего же нельзя, Петрович?	neutral
1202	-- Спасибо вам, ненько, за чай!	positive
1203	-- Хорошо, поди, -- сказал он слуге.	positive
1204	-- Неужели дала?	neutral
1205	-- Он у ней, -- проговорила она чуть слышно.	neutral
1207	-- Ишь...	negative
1209	-- Зверьё, -- говорю, -- все вы!	negative
1210	-- Я ведь и забыл: у меня нынче с утра во рту маковой росинки не было.	neutral
1211	-- И отчего они сами плохи, -- вставил хохол.	neutral
1213	-- Не знаю, -- так уж...	neutral
1214	-- Не беспокойтесь, не дам-с, -- решительно сказал усач и отправился вслед за ними.	neutral
1215	-- Как он его толкал!..	neutral
1216	-- Настасья, уйди, ради бога; вот твои три копейки, только, ради бога, скорей уйди!	negative
1218	-- Ну и впрямь, знать, креста на тебе нет!	negative
1220	-- Kогда-нибудь...	neutral
1222	-- Спрашивал, Яков Петрович; да что это с вами, раздушены, распомажены, франтом таким?..	neutral
1223	-- Бог с тобой!	positive
1225	-- А кто же это спрятался сзади всех?	neutral
1227	-- Всегда надутый, как сыч или как будочник Арефий...	neutral
1229	-- Хорошо, -- сказал Дорош.	positive
1230	-- Слава богу.	positive
1231	-- Ну, а хорошего-то тут что?	neutral
1232	-- Пройдите, батюшка.	neutral
1233	-- Знаю, знаю, зачем!	neutral
1237	-- За что, господи?	neutral
1239	-- Вы смеетесь, -- сказал он, улыбаясь вслед за мною.	neutral
1241	-- Да что на тебе креста, что ли, нет, леший!	negative
1242	-- Кислого молочка или жиденького узвару с сушеными грушами.	neutral
1243	-- Шило пусть будет атаманом!	neutral
1244	-- А что?	neutral
1245	-- Как вам показалось, князь, -- обратился вдруг к нему Ганя, -- что это, серьезный какой-нибудь человек или только так, безобразник?	neutral
1246	-- Нет, я не больна, Афанасий Иванович!	negative
1247	-- Да, беззаботный!	neutral
1248	-- Женщины, -- продолжал Пахотин, -- теперь только и находят развлечение с людьми наших лет.	neutral
1250	-- Нет, нельзя поправить: худой гардероб!	negative
1252	-- Не хотим Бородатого!	negative
1254	-- Вы оттого и не знаете жизни, не ведаете чужих скорбей: кому что нужно, зачем мужик обливается потом, баба жмет в нестерпимый зной -- все оттого, что вы не любили!	neutral
1255	-- Нету, нету, Братец.	neutral
1256	-- Нет, Пенкин, я не стану читать.	neutral
1258	-- Вы не трус?	neutral
1259	-- Ты что смеешься?	neutral
1260	-- Кузнецов женат давно, Махов на мое место поступил, а Васильева перевели в Польшу.	neutral
1261	-- Не хотим Кукубенка!	neutral
1263	-- Неважная хата!	negative
1264	-- Чулочки-то у вас тонки для такого времени!	neutral
1266	-- Ничего, не робей!	neutral
1269	-- Полно, Ваня, оставь, -- прервала она, крепко сжав мою руку и улыбнувшись сквозь слезы.	neutral
1270	-- Теперь душа её ходить будет тут...	neutral
1271	-- Есть, -- ответил Илья.	neutral
1272	-- Не озоруй, шельма, не озоруй!	negative
1273	-- Верую!	positive
1274	-- Видите вы эту толстую баронессу?	negative
1275	-- Это оттого, что грязно.	negative
1277	-- Нет такой божьей матери!	neutral
1278	-- Так!	neutral
1279	-- Что ты, Матвей, стал угрюмый?	neutral
1282	-- Послушай, Саша, -- сказала она в волнении, положив ему руку на плечо, по-видимому с намерением сделать последнюю попытку, -- еще время не ушло: подумай, останься!	neutral
1284	-- Выздоровлю -- тебе хуже будет!	negative
1286	-- Внимайте, князь Лев Николаевич!	neutral
1287	-- Ты подумай -- ведь он без тебя не может, -- ведь младенец!	neutral
1288	-- Да, но выдает.	neutral
1289	-- И что ж потом?	neutral
1290	-- Да, мила.	positive
1292	-- Не сразу тоже скажешь так, как думаешь.	neutral
1293	-- Он добрый малый!	positive
1296	-- Ладно, -- говорят, -- толкуй!	neutral
1297	-- Я, Крестьян Иванович, люблю тишину, -- проговорил господин Голядкин, бросая значительный взгляд на Крестьяна Ивановича и, очевидно, ища слов для удачнейшего выражения мысли своей, -- в квартире только я да Петрушка...	neutral
1298	-- Как хочешь.	neutral
1299	-- Молись за нас грешных, Мотя!	positive
1300	-- Деньги будут, к вечеру будут, приходи!	neutral
1301	-- Чего изволите?	neutral
1303	-- Разве это хорошо?	neutral
1305	-- Гм...	neutral
1306	-- Так и есть!	neutral
1307	-- Вы меня извините, а я на вас глядя спросил.	neutral
1308	-- Я сам думаю пойти на войну; почему ж я не могу идти на войну?	neutral
1309	-- Ну, так пожалуйте поскорее, барыня непременно желает видеть вас и просит вас уже пожаловать прямо к ним на дом.	neutral
1310	-- Но ваш отец?	neutral
1311	-- Смейся, смейся, а ведь тут карьера, -- сказал генерал, -- Вы знаете, князь, к какому лицу мы теперь вам бумаги писать дадим?	neutral
1312	-- Как это вы делали, расскажите!	neutral
1315	-- Ну, Иван Иваныч, не сердитесь, -- сказала Анна Васильевна, -- если опять забуду да свою трефовую даму побью.	neutral
1318	-- О, наверно не помешает.	neutral
1319	-- О чем?	neutral
1320	-- Был в древности Велес, скотий бог, -- не пращур ли твой?	negative
1321	-- Никогда!	neutral
1325	-- Бабушка, эх!..	neutral
1327	-- Как же: завтра похороны!	neutral
1328	-- Святотатство!	negative
1330	-- Здравствуй, Судьбинский!	neutral
1331	-- Да.	neutral
1332	-- Пришёл, работник?	neutral
1333	-- Пошел к черту, -- я сам умру!..	negative
1334	-- И таких господь бог любит, -- подхватил чиновник.	positive
1335	-- Еще только посватается?	neutral
1336	-- О, я не хочу иметь роги!	neutral
1338	-- Вы никому не скажете -- честное слово?	neutral
1339	-- Гм...	neutral
1340	-- На весь день.	neutral
1341	-- Азорка тоже умер?	negative
1343	-- И на вас тоже?	neutral
1344	-- А вам какое до нее, батюшка, дело?	neutral
1348	-- О, они не повторяются так часто, и притом он почти как ребенок, впрочем образованный.	neutral
1349	-- А если я любила?	neutral
1350	-- А ведь вы знаете, какова она иногда?	neutral
1351	-- Кого?	neutral
1353	-- Как же!	neutral
1354	-- То-то что нет.	neutral
1355	-- О, да вы философ; а впрочем...	neutral
1356	-- Кто-то воет...	neutral
1357	-- Как!	neutral
1358	-- Значит, прямо из вагона ко мне?	neutral
1359	-- Ах, какой дом!	positive
1360	-- Эх, Матвей, хорош ты был дитя!	neutral
1361	-- Не разберу, что написано.	neutral
1361	-- Отрави меня, не хочу жить...	negative
1362	-- Я, дедушка, уповаю на господа, -- что больше могу я?	neutral
1363	-- Скоро сменюсь я и тоже спать!	neutral
1364	-- Как здоровье Анны Андреевны?	neutral
1368	-- Да, смуглая такая, точно солдат переряженный, но знаешь, совсем не урод.	neutral
1370	-- Ну что, монах, -- жив?	neutral
1371	-- Нет.	neutral
1372	-- Два раз?	neutral
1374	-- Если б ma tante услыхала вас на этом слове...	neutral
1375	-- Маша!	neutral
1378	-- Так неси же, ради бога, неси!	neutral
1379	-- У меня няня была, -- тоже удивительно добрая!	positive
1381	-- Э-эх ты!	neutral
1382	-- Нет, -- кратко отвечала она.	neutral
1383	-- А посмотри-ка сюда, -- продолжала она, отворяя дверь на балкон, -- и тебе не жаль покинуть такой уголок?	neutral
1385	-- Уморит!	negative
1386	-- До сих пор, господа, вы меня не знали.	neutral
1388	-- Да четыре года.	neutral
1389	-- Православные, жертвуйте!	neutral
1390	-- Извините, пожалуйста, но вас много -- кто же это?	neutral
1391	-- Какое же ты жалкое лекарство выбрал от скуки -- переливать из пустого в порожнее с женщиной: каждый день одно и то же!	negative
1393	-- Распустили они насчет его слух...	negative
1394	-- Что ж ты не скажешь, что готово?	negative
1395	-- Али вы сильно грешнее других?	neutral
1396	-- Да скажете ли вы мне, наконец, что такое здесь происходит!	neutral
1398	-- Не знаю, много ли правды в том, что вы говорили, -- задумчиво заметил генерал, -- но знаю наверное, что вы нестерпимо начинаете форсить, чуть лишь вам капельку позволят забыться...	neutral
1399	-- Так?	neutral
1400	-- Ездила в институт, к Лидии.	neutral
1401	-- Я думаю, архимандрит не давал вам и понюхать горелки, -- продолжал Тарас.	neutral
1402	-- От кого, не знаю.	neutral
1403	-- Что ты толкуешь?	neutral
1404	-- Жалеть!	neutral
1405	-- Ах, чуть не забыл!	neutral
1406	-- Отвыкли от нашего-то?	neutral
1409	-- А когда он не бывает дома?	neutral
1411	-- Зачем же ты это, Паша?	neutral
1413	-- Добрый, добрый; он стоит.	positive
